"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 08:36:03 GMT 2025","Wed Oct 29 08:36:05 GMT 2025","1908","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Oct 29 08:35:59 GMT 2025","Wed Oct 29 08:36:01 GMT 2025","2013","LMS system","Authentication","Authorization","","","User login with wrong email or password:   ",""
"passed","Wed Oct 29 08:36:09 GMT 2025","Wed Oct 29 08:36:11 GMT 2025","1998","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Oct 29 08:36:11 GMT 2025","Wed Oct 29 08:36:11 GMT 2025","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Oct 29 08:35:56 GMT 2025","Wed Oct 29 08:36:00 GMT 2025","3916","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Oct 29 08:36:11 GMT 2025","Wed Oct 29 08:36:11 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Wed Oct 29 08:36:11 GMT 2025","Wed Oct 29 08:36:11 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Oct 29 08:36:01 GMT 2025","Wed Oct 29 08:36:03 GMT 2025","1666","LMS system","Authentication","Authorization","","","User login with wrong email or password: user.name@gmail.com",""
"passed","Wed Oct 29 08:36:07 GMT 2025","Wed Oct 29 08:36:09 GMT 2025","1622","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Oct 29 08:36:01 GMT 2025","Wed Oct 29 08:36:03 GMT 2025","1632","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Oct 29 08:36:05 GMT 2025","Wed Oct 29 08:36:08 GMT 2025","3016","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Oct 29 08:36:12 GMT 2025","Wed Oct 29 08:36:12 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Oct 29 08:36:11 GMT 2025","Wed Oct 29 08:36:11 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Oct 29 08:36:08 GMT 2025","Wed Oct 29 08:36:12 GMT 2025","3305","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Oct 29 08:36:11 GMT 2025","Wed Oct 29 08:36:11 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Wed Oct 29 08:35:56 GMT 2025","Wed Oct 29 08:35:58 GMT 2025","1861","LMS system","Authentication","Authorization","","","User login with wrong email or password: user.name@gmail.com",""
