"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 10:46:24 GMT 2025","Wed Oct 29 10:46:24 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Oct 29 10:46:10 GMT 2025","Wed Oct 29 10:46:14 GMT 2025","4156","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Oct 29 10:46:17 GMT 2025","Wed Oct 29 10:46:19 GMT 2025","1928","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Oct 29 10:46:24 GMT 2025","Wed Oct 29 10:46:24 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Oct 29 10:46:24 GMT 2025","Wed Oct 29 10:46:24 GMT 2025","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Oct 29 10:46:25 GMT 2025","Wed Oct 29 10:46:26 GMT 2025","1641","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Oct 29 10:46:15 GMT 2025","Wed Oct 29 10:46:17 GMT 2025","1559","LMS system","Authentication","Authorization","","","User login with wrong email or password: user.name@gmail.com",""
"passed","Wed Oct 29 10:46:21 GMT 2025","Wed Oct 29 10:46:24 GMT 2025","3057","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Oct 29 10:46:24 GMT 2025","Wed Oct 29 10:46:24 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Oct 29 10:46:13 GMT 2025","Wed Oct 29 10:46:15 GMT 2025","1944","LMS system","Authentication","Authorization","","","User login with wrong email or password:   ",""
"passed","Wed Oct 29 10:46:24 GMT 2025","Wed Oct 29 10:46:24 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Wed Oct 29 10:46:19 GMT 2025","Wed Oct 29 10:46:22 GMT 2025","3225","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Oct 29 10:46:15 GMT 2025","Wed Oct 29 10:46:17 GMT 2025","1487","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Oct 29 10:46:10 GMT 2025","Wed Oct 29 10:46:13 GMT 2025","2382","LMS system","Authentication","Authorization","","","User login with wrong email or password: user.name@gmail.com",""
"passed","Wed Oct 29 10:46:22 GMT 2025","Wed Oct 29 10:46:24 GMT 2025","1653","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Oct 29 10:46:24 GMT 2025","Wed Oct 29 10:46:24 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
