"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 11:06:16 GMT 2025","Wed Oct 29 11:06:18 GMT 2025","1756","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Oct 29 11:06:02 GMT 2025","Wed Oct 29 11:06:04 GMT 2025","2233","LMS system","Authentication","Authorization","","","User login with wrong email or password: user.name@gmail.com",""
"passed","Wed Oct 29 11:06:07 GMT 2025","Wed Oct 29 11:06:08 GMT 2025","1476","LMS system","Authentication","Authorization","","","User login with wrong email or password: user.name@gmail.com",""
"passed","Wed Oct 29 11:06:05 GMT 2025","Wed Oct 29 11:06:07 GMT 2025","1925","LMS system","Authentication","Authorization","","","User login with wrong email or password:   ",""
"passed","Wed Oct 29 11:06:07 GMT 2025","Wed Oct 29 11:06:09 GMT 2025","1521","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Oct 29 11:06:10 GMT 2025","Wed Oct 29 11:06:13 GMT 2025","2863","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Oct 29 11:06:15 GMT 2025","Wed Oct 29 11:06:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Wed Oct 29 11:06:14 GMT 2025","Wed Oct 29 11:06:15 GMT 2025","1486","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Oct 29 11:06:09 GMT 2025","Wed Oct 29 11:06:11 GMT 2025","1835","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Oct 29 11:06:15 GMT 2025","Wed Oct 29 11:06:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Oct 29 11:06:15 GMT 2025","Wed Oct 29 11:06:15 GMT 2025","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Oct 29 11:06:02 GMT 2025","Wed Oct 29 11:06:06 GMT 2025","4045","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Oct 29 11:06:15 GMT 2025","Wed Oct 29 11:06:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Wed Oct 29 11:06:15 GMT 2025","Wed Oct 29 11:06:15 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Oct 29 11:06:13 GMT 2025","Wed Oct 29 11:06:16 GMT 2025","2883","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Oct 29 11:06:15 GMT 2025","Wed Oct 29 11:06:15 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
